"id_cuenta_cliente","periodo_fiscal","onboarding_bonificado","horas_capacitacion_empleado","usuarios_licenciados","facturacion_anual_cliente"
410032,2023,0,12,100,4.7e+07
410032,2024,0,3.05343508720398,131,4.3e+07
410032,2025,0,3.25203251838684,123,4.9e+07
410440,2023,0,12,12,1560000
410440,2024,0,12,13,1970000
410440,2025,0,10,14,2350000
410495,2023,0,37.5,20,750000
410495,2024,0,20,25,110000
410495,2025,0,41.6666679382324,24,950000
410500,2023,0,0,200,23741000
410500,2024,0,0,155,19659000
410500,2025,0,6,80,25992000
410513,2023,0,0,15,1413900
410513,2024,0,0,16,1869348
410513,2025,0,20,16,1857765
410518,2023,0,0.875,48,2160900
410518,2024,0,0.893617033958435,47,2454500
410518,2025,0,0.848484873771667,66,3359800
410521,2023,0,44.1176452636719,17,1453081
410521,2024,0,18.75,16,1546911
410521,2025,0,0,14,1672366
410523,2023,0,20,70,8e+06
410523,2024,0,18.8235301971436,85,1.1e+07
410523,2025,0,24.4897956848145,98,1.5e+07
410529,2023,0,0,45,1535242
410529,2024,0,0,47,3209188
410529,2025,0,0.0784313753247261,51,4030352
410531,2023,0,0,200,1e+07
410531,2024,0,0.600000023841858,200,1e+07
410531,2025,0,1.05263161659241,190,9e+06
410533,2023,0,14.5714282989502,14,1600000
410533,2024,0,31.25,12,9e+05
410533,2025,0,19.6875,16,1300000
410535,2023,0,0,10,420664
410535,2024,0,0,11,544602
410535,2025,0,0,9,495331
410536,2023,0,1.60000002384186,15,1502502
410536,2024,0,1.5,16,1840912
410536,2025,0,1.33333337306976,18,2273869
410540,2023,0,0,50,5200000
410540,2024,0,0,50,6500000
410540,2025,0,0,55,5600000
410546,2023,0,0.366013079881668,153,1e+07
410546,2024,0,0.358208954334259,134,1.1e+07
410546,2025,0,7.6712327003479,146,1.2e+07
410547,2023,0,0,20,2300000
410547,2024,0,0,23,2500000
410547,2025,0,1.91999995708466,25,3e+06
410560,2023,0,0,22,725000
410560,2024,0,0,25,785000
410560,2025,0,0,23,785000
410561,2023,0,0,6,501859
410561,2024,0,0,6,580415
410561,2025,0,7.11111116409302,9,735442
410562,2023,0,1.33333337306976,15,4e+06
410562,2024,0,1.11111116409302,18,5e+06
410562,2025,0,7.89473676681519,19,7e+06
410563,2023,0,0,73,5300000
410563,2024,0,0,76,5800000
410563,2025,0,5,80,6400000
410566,2023,0,6.85714292526245,14,2101581
410566,2024,0,1.875,16,2400723
410566,2025,0,3.07692313194275,13,2470633
410567,2023,0,0,40,3e+06
410567,2024,0,0,48,3800000
410567,2025,0,16,50,3100000
410571,2023,0,25,17,755050
410571,2024,0,25,15,1102723
410571,2025,0,12.5,20,1073785
410577,2023,0,1.20000004768372,75,4750000
410577,2024,0,1.75,80,5100000
410577,2025,0,1.4893616437912,94,5500000
410586,2023,0,38.8965530395508,116,1.1e+07
410586,2024,0,38.7543869018555,114,1.1e+07
410586,2025,0,39.1008415222168,119,1.1e+07
410593,2023,0,0,5,3500000
410593,2024,0,0,5,3800000
410593,2025,0,0,5,4e+06
410596,2023,0,10,8,990400
410596,2024,0,12,16,1166100
410596,2025,0,14,20,1815900
410606,2023,0,3.46774196624756,124,10507000
410606,2024,0,1.88976383209229,127,12172850
410606,2025,0,19.03125,128,12039550
410609,2023,0,0,22,1650831
410609,2024,0,0,37,1817961
410609,2025,0,0,44,1642441
410612,2023,0,12,60,7e+06
410612,2024,0,12,65,8500000
410612,2025,0,12,70,1.1e+07
410626,2023,0,2.66666674613953,27,4600000
410626,2024,0,1.14285719394684,28,4900000
410626,2025,0,6.40000009536743,30,5600000
410635,2023,0,0,100,2e+07
410635,2024,0,0.0105263162404299,95,1.8e+07
410635,2025,0,11.764705657959,85,1.6e+07
410639,2023,0,0.370370358228683,135,1.4e+07
410639,2024,0,1.66666662693024,135,1.5e+07
410639,2025,0,3.47222232818604,144,15500000
410640,2023,0,55.3846168518066,13,1656000
410640,2024,0,36.3636360168457,11,1527000
410640,2025,0,30.769229888916,13,1454000
410680,2023,0,51.8518524169922,27,2873000
410680,2024,0,4.09836053848267,61,6097000
410680,2025,0,12.115385055542,52,5670000
410686,2023,0,0,6,2100000
410686,2024,0,2.85714292526245,7,1800000
410686,2025,0,0,6,1600000
418008,2023,0,0,10,9e+05
418008,2024,1,16,10,1200000
418008,2025,0,0,12,1100000
418011,2023,0,0,70,4200000
418011,2024,1,8.60000038146973,50,3740000
418011,2025,0,6.66666650772095,30,2040000
418013,2023,0,4,20,750000
418013,2024,1,10,18,8e+05
418013,2025,0,6,20,950000
418014,2023,0,56.8888893127441,9,6802180
418014,2024,1,163.91667175293,12,936477
418014,2025,0,75.2941207885742,17,1437883
418021,2023,0,0,11,1850000
418021,2024,1,6.1538462638855,13,2078000
418021,2025,0,1.53846156597137,13,2040000
418024,2023,0,0,40,5500000
418024,2024,1,38,60,6e+06
418024,2025,0,2,100,7e+06
418035,2023,0,0,30,1269000
418035,2024,1,18.3999996185303,30,1681000
418035,2025,0,0,31,1814000
418045,2023,0,4,15,2e+06
418045,2024,0,8,15,2500000
418045,2025,0,150,15,3500000
418052,2023,0,0,6,4e+05
418052,2024,1,55,5,5e+05
418052,2025,0,0,7,6e+05
418054,2023,0,0,60,3330457
418054,2024,1,1.84615385532379,65,3765312
418054,2025,0,0,56,3533090
418065,2023,0,3.47490358352661,259,26942000
418065,2024,1,15.4803628921509,331,32161000
418065,2025,0,3.3644859790802,321,31046000
418076,2023,0,16.6666660308838,60,3870000
418076,2024,1,30.4571437835693,70,3882000
418076,2025,0,14.2857141494751,70,5330000
418091,2023,0,1.33333337306976,150,1.1e+07
418091,2024,1,12.6857147216797,175,1.5e+07
418091,2025,0,5,200,1.8e+07
418097,2023,0,0.3125,80,6e+06
418097,2024,1,2.79999995231628,150,7700000
418097,2025,0,0,120,5643000
418107,2023,0,10,10,307501
418107,2024,1,83,25,1961818
418107,2025,0,13.235294342041,34,2650786
418109,2023,0,100,6,6e+05
418109,2024,1,120.833335876465,12,820000
418109,2025,0,91.4285736083984,14,1200000
418118,2023,0,3.125,16,1608573
418118,2024,1,25,16,1342236
418118,2025,0,3.125,16,1504283
418124,2023,0,0,15,1600000
418124,2024,1,18,20,1800000
418124,2025,0,1.84615385532379,26,2e+06
418125,2023,0,9.30555534362793,72,10467040
418125,2024,1,31,128,15440030
418125,2025,0,9,168,22979550
418126,2023,0,5,60,5600000
